title,authors,published,url
Risk-Sensitive Markov Decision Processes with Combined Metrics of Mean and Variance,['Li Xia'],2020-08-09T10:35:35Z,https://arxiv.org/abs/2008.03707v1
Neural Manipulation Planning on Constraint Manifolds,"['Ahmed H. Qureshi', 'Jiangeng Dong', 'Austin Choe', 'Michael C. Yip']",2020-08-09T18:58:10Z,https://arxiv.org/abs/2008.03787v1
Metaheuristics for the operating theater planning and scheduling: A systematic review,"['Amirhossein Moosavi', 'Onur Ozturk']",2020-08-11T19:13:31Z,https://arxiv.org/abs/2008.04970v1
"Sistema experto para el diagnóstico de enfermedades y plagas en los cultivos del arroz, tabaco, tomate, pimiento, maíz, pepino y frijol","['Ing. Yosvany Medina Carbó', 'MSc. Iracely Milagros Santana Ges', 'Lic. Saily Leo González']",2020-07-21T18:39:37Z,https://arxiv.org/abs/2007.11038v1
Transfer Deep Reinforcement Learning-enabled Energy Management Strategy for Hybrid Tracked Vehicle,"['Xiaowei Guo', 'Teng Liu', 'Bangbei Tang', 'Xiaolin Tang', 'Jinwei Zhang', 'Wenhao Tan', 'Shufeng Jin']",2020-07-16T23:39:34Z,https://arxiv.org/abs/2007.08690v1
"Toward Machine-Guided, Human-Initiated Explanatory Interactive Learning","['Teodora Popordanoska', 'Mohit Kumar', 'Stefano Teso']",2020-07-20T11:51:31Z,https://arxiv.org/abs/2007.10018v1
Multi-Principal Assistance Games,"['Arnaud Fickinger', 'Simon Zhuang', 'Dylan Hadfield-Menell', 'Stuart Russell']",2020-07-19T00:23:25Z,https://arxiv.org/abs/2007.09540v1
Phase Transition Behavior in Knowledge Compilation,"['Rahul Gupta', 'Subhajit Roy', 'Kuldeep S. Meel']",2020-07-20T18:36:27Z,https://arxiv.org/abs/2007.10400v1
Non-Markov Policies to Reduce Sequential Failures in Robot Bin Picking,"['Kate Sanders', 'Michael Danielczuk', 'Jeffrey Mahler', 'Ajay Tanwani', 'Ken Goldberg']",2020-07-20T19:20:40Z,https://arxiv.org/abs/2007.10420v1
Event Prediction in the Big Data Era: A Systematic Survey,['Liang Zhao'],2020-07-19T23:24:52Z,https://arxiv.org/abs/2007.09815v3
An Ontological AI-and-Law Framework for the Autonomous Levels of AI Legal Reasoning,['Lance Eliot'],2020-08-04T16:12:30Z,https://arxiv.org/abs/2008.07328v1
Safe Reinforcement Learning in Constrained Markov Decision Processes,"['Akifumi Wachi', 'Yanan Sui']",2020-08-15T02:20:23Z,https://arxiv.org/abs/2008.06626v1
Explainability in Deep Reinforcement Learning,"['Alexandre Heuillet', 'Fabien Couthouis', 'Natalia Díaz-Rodríguez']",2020-08-15T10:11:42Z,https://arxiv.org/abs/2008.06693v4
Autonomous Braking and Throttle System: A Deep Reinforcement Learning Approach for Naturalistic Driving,"['Varshit S. Dubey', 'Ruhshad Kasad', 'Karan Agrawal']",2020-08-15T10:37:07Z,https://arxiv.org/abs/2008.06696v1
Model Patching: Closing the Subgroup Performance Gap with Data Augmentation,"['Karan Goel', 'Albert Gu', 'Yixuan Li', 'Christopher Ré']",2020-08-15T20:01:23Z,https://arxiv.org/abs/2008.06775v1
Few-shot Visual Reasoning with Meta-analogical Contrastive Learning,"['Youngsung Kim', 'Jinwoo Shin', 'Eunho Yang', 'Sung Ju Hwang']",2020-07-23T14:00:34Z,https://arxiv.org/abs/2007.12020v1
Semi-supervised Learning From Demonstration Through Program Synthesis: An Inspection Robot Case Study,"['Simón C. Smith', 'Subramanian Ramamoorthy']",2020-07-23T01:32:21Z,https://arxiv.org/abs/2007.12500v1
On the Programmatic Generation of Reproducible Documents,"['Michael J. Kane', 'Simon Urbanek']",2020-06-23T22:32:58Z,https://arxiv.org/abs/2007.12631v1
Towards Automated Discovery of Geometrical Theorems in GeoGebra,"['Zoltán Kovács', 'Jonathan H. Yu']",2020-07-24T10:59:39Z,https://arxiv.org/abs/2007.12447v1
Toward the quantification of cognition,['Richard Granger'],2020-08-12T21:45:29Z,https://arxiv.org/abs/2008.05580v1
A Knowledge Graph for Assessing Aggressive Tax Planning Strategies,"['Niklas Lüdemann', 'Ageda Shiba', 'Nikolaos Thymianis', 'Nicolas Heist', 'Christopher Ludwig', 'Heiko Paulheim']",2020-08-12T11:19:36Z,https://arxiv.org/abs/2008.05239v3
"Look, Listen, and Attend: Co-Attention Network for Self-Supervised Audio-Visual Representation Learning","['Ying Cheng', 'Ruize Wang', 'Zhihao Pan', 'Rui Feng', 'Yuejie Zhang']",2020-08-13T10:08:12Z,https://arxiv.org/abs/2008.05789v1
Visuomotor Mechanical Search: Learning to Retrieve Target Objects in Clutter,"['Andrey Kurenkov', 'Joseph Taglic', 'Rohun Kulkarni', 'Marcus Dominguez-Kuhne', 'Animesh Garg', 'Roberto Martín-Martín', 'Silvio Savarese']",2020-08-13T18:23:00Z,https://arxiv.org/abs/2008.06073v1
Probing Neural Dialog Models for Conversational Understanding,"['Abdelrhman Saleh', 'Tovly Deutsch', 'Stephen Casper', 'Yonatan Belinkov', 'Stuart Shieber']",2020-06-07T17:32:00Z,https://arxiv.org/abs/2006.08331v1
An Algorithm to find Superior Fitness on NK Landscapes under High Complexity: Muddling Through,"['Sasanka Sekhar Chanda', 'Sai Yayavaram']",2020-06-06T11:08:20Z,https://arxiv.org/abs/2006.08333v2
Group Decision Support for agriculture planning by a combination of Mathematical Model and Collaborative Tool,"['Pascale Zaraté', 'Alemany Mme', 'Ana Esteso Alvarez', 'Amir Sakka', 'Guy Camilleri']",2020-06-15T06:12:04Z,https://arxiv.org/abs/2006.08151v1
Adaptive Reinforcement Learning through Evolving Self-Modifying Neural Networks,['Samuel Schmidgall'],2020-05-22T02:24:44Z,https://arxiv.org/abs/2006.05832v1
ClarQ: A large-scale and diverse dataset for Clarification Question Generation,"['Vaibhav Kumar', 'Alan W. black']",2020-06-10T17:56:50Z,https://arxiv.org/abs/2006.05986v2
Modified Possibilistic Fuzzy C-Means Algorithm for Clustering Incomplete Data Sets,"['Rustam', 'Koredianto Usman', 'Mudyawati Kamaruddin', 'Dina Chamidah', 'Nopendri', 'Khaerudin Saleh', 'Yulinda Eliskar', 'Ismail Marzuki']",2020-07-09T16:12:11Z,https://arxiv.org/abs/2007.04908v2
A Cordial Sync: Going Beyond Marginal Policies for Multi-Agent Embodied Tasks,"['Unnat Jain', 'Luca Weihs', 'Eric Kolve', 'Ali Farhadi', 'Svetlana Lazebnik', 'Aniruddha Kembhavi', 'Alexander Schwing']",2020-07-09T17:59:57Z,https://arxiv.org/abs/2007.04979v1
Learning Abstract Models for Strategic Exploration and Fast Reward Transfer,"['Evan Zheran Liu', 'Ramtin Keramati', 'Sudarshan Seshadri', 'Kelvin Guu', 'Panupong Pasupat', 'Emma Brunskill', 'Percy Liang']",2020-07-12T03:33:50Z,https://arxiv.org/abs/2007.05896v1
Knowledge Graph Driven Approach to Represent Video Streams for Spatiotemporal Event Pattern Matching in Complex Event Processing,"['Piyush Yadav', 'Dhaval Salwala', 'Edward Curry']",2020-07-13T10:20:58Z,https://arxiv.org/abs/2007.06292v1
